Gas,NFR/CRT Group,Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Carbon Dioxide as Carbon,1A1ciii,Gas production,LPG,kilotonne,29.44147996,33.47215895,32.18701498,33.35532768,37.79491595,34.28997784,38.27627412,35.92680161,36.78032232,36.77412811,31.46753157,-,-,0.016019374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A1ciii,Gas production,Natural gas,kilotonne,140.7222844,176.5385935,166.2445916,168.47347,172.2467421,193.9251937,264.5134102,245.0382718,317.764504,400.8834089,433.482361,455.802506,454.8902957,484.4737186,383.3940786,429.0740615,387.8119429,330.3424235,357.6291581,349.5756319,499.8994982,440.2436381,319.5034374,306.4433134,298.8540891,342.1360997,343.4279234,344.4537896,287.7210979,330.8747676,323.9988625,303.5310566,375.297684,295.0800176
Carbon Dioxide as Carbon,1A1ciii,Nuclear fuel production,Natural gas,kilotonne,20.86995966,24.57710223,25.22033969,28.10426762,27.41078737,23.32697966,43.7556009,46.32652814,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Coal,kilotonne,8.46249987,6.336489107,4.224326071,9.23188215,10.02729303,6.139158997,2.287567578,0.572497975,3.322842579,5.498287715,2.095695643,0.744287365,-,-,-,-,0.740596958,55.54477187,51.130814,44.37656974,47.61297845,38.97021195,37.48161206,39.38494624,40.16997902,32.88991092,25.66168461,24.45451156,24.69890856,17.21887928,22.40305799,15.20445555,19.34439255,24.43969962
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Coke,kilotonne,193.544897,164.024374,171.2529874,148.1895423,53.66644703,11.58154645,20.53979668,33.19486842,19.20075569,14.61051987,16.02185851,26.14900079,22.93445997,17.97284323,17.57123342,17.98568869,21.20200056,19.17870558,11.19259084,5.50433729,5.800403722,5.890031139,10.30543986,10.54078979,11.61648093,11.89147838,9.759392108,5.793914799,1.727130386,2.999821073,3.63270473,3.841281168,3.057611943,0.877051575
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Fuel oil,kilotonne,97.68859992,134.2865684,130.6340799,269.0327315,237.4132397,219.4943905,70.8435,100.7748,25.259,49.07690663,59.05691519,94.87382123,67.96923686,21.12358006,30.57080315,17.22837508,19.86930554,59.76971119,4.1313,53.24103,11.93682,11.05782,5.64318,5.82777,5.24763,6.40791,5.534945424,5.287561263,5.39706,4.3071,2.61942,2.60184,6.0651,7.72641
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Gas oil,kilotonne,25.37959031,26.39109116,26.43464296,26.1072613,25.10251951,23.46283636,25.79564835,25.35038406,26.97,22.11630676,60.46195149,8.696366669,8.991973581,10.56308852,9.937588384,8.646512409,7.860800858,4.667141284,2.559460035,2.113151393,2.810904247,1.929037398,1.863303928,2.316750941,2.753804788,3.184398413,2.366918382,2.251651545,2.534467367,2.198363938,2.11584141,2.764697191,4.622309997,3.261115483
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,LPG,kilotonne,8.143449189,8.144079635,5.905780514,5.905780514,8.144079635,7.96883273,4.893017423,13.68606538,16.79101671,16.78818892,19.12435446,-,7.957568609,-,-,-,-,-,3.479381352,3.059680758,1.142564385,0.696368248,1.857696299,3.026680139,2.931140876,2.730539465,0.985115919,1.004621838,1.096553803,1.560981398,0.864542615,0.784696962,0.744817095,0.689247007
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Natural gas,kilotonne,660.9453601,612.097529,678.8300127,761.7575693,995.9584996,998.4147096,1059.296063,1032.785449,1011.661342,1100.055162,457.8678757,438.6012379,452.8961923,528.3390974,510.1373606,446.6346264,443.2569034,388.6917081,387.4083569,288.5705712,327.4285136,312.3709015,275.040399,288.2293902,293.7093658,289.3533075,246.0677918,240.719624,249.9351259,249.0536159,256.9145307,257.3845038,269.5804723,279.3116533
Carbon Dioxide as Carbon,1A2a,Iron and steel - combustion plant,Non-municipal solid waste: non-biomass fraction,kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.841306514,0.755263802,0.927349226,0.009560301,0.009560301
