PCON24CD,damage_cost_central,damage_cost_low,damage_cost_high
E14001387,17312.668,2376.3599999999997,60004.83
E14001388,15919.442,2241.8399999999997,55012.966428571424
E14001389,23830.131999999998,3005.6400000000003,83356.59857142856
E14001390,24467.71,3067.2,85641.01071428572
E14001391,22861.958000000002,2912.1600000000003,79887.67642857143
E14001392,20736.698,2706.9599999999996,72272.96928571428
E14001393,21090.908,2741.16,73542.08714285714
E14001394,22035.468,2832.36,76926.40142857142
E14001395,11196.642,1785.84,38091.395
E14001396,9897.872,1660.4399999999998,33437.962857142855
E14001397,13581.656,2016.1200000000001,46636.78857142857
E14001398,13912.252,2048.04,47821.29857142857
E14001399,23877.359999999997,3010.2,83525.8142857143
E14001400,21657.643999999997,2795.8799999999997,75572.6757142857
E14001401,22011.853999999996,2830.0799999999995,76841.79357142857
E14001402,14478.988,2102.76,49851.887142857144
E14001403,23050.87,2930.3999999999996,80564.53928571429
E14001404,20099.12,2645.3999999999996,69988.55714285714
E14001405,17879.404,2431.08,62035.41857142857
E14001406,30017,3603,105523.85714285714
E14001407,29875.316000000006,3589.3200000000006,105016.21
E14001408,30017,3603,105523.85714285714
E14001409,30017,3603,105523.85714285714
E14001410,30017,3603,105523.85714285714
E14001411,30017,3603,105523.85714285714
E14001412,30017,3603,105523.85714285714
E14001113,30017,3603,105523.85714285714
E14001114,20547.786,2688.7200000000003,71596.10642857142
E14001115,30017,3603,105523.85714285714
E14001116,30017,3603,105523.85714285714
E14001117,29946.158,3596.16,105270.03357142858
E14001118,30017,3603,105523.85714285714
E14001119,29733.631999999998,3575.6400000000003,104508.56285714285
E14001120,29851.702,3587.04,104931.60214285714
E14001121,22436.906000000003,2871.1200000000003,78364.73500000002
E14001122,70132.5,7481,249244
E14001123,70132.5,7481,249244
E14001124,70132.5,7481,249244
E14001125,19933.822,2629.4399999999996,69396.30214285714
E14001126,25058.06,3124.2000000000003,87756.20714285715
E14001127,18658.666,2506.32,64827.47785714286
E14001128,20004.664,2636.2800000000007,69650.12571428572
E14001129,30017,3603,105523.85714285714
E14001130,30017,3603,105523.85714285714
E14001131,30017,3603,105523.85714285714
E14001132,30017,3603,105523.85714285714
E14001133,30017,3603,105523.85714285714
E14001134,30017,3603,105523.85714285714
E14001135,30017,3603,105523.85714285714
E14001136,8882.470000000001,1562.4,29799.824999999997
E14001137,70132.5,7481,249244
E14001138,25223.358000000004,3140.1600000000003,88348.46214285716
E14001139,28907.141999999996,3495.8399999999997,101547.28785714284
E14001140,29922.544,3593.88,105185.42571428572
E14001141,23782.904,3001.08,83187.38285714286
E14001142,28930.756,3498.1200000000003,101631.89571428573
E14001143,26734.654,3286.08,93763.36499999999
E14001144,29497.492000000002,3552.84,103662.4842857143
E14001145,29686.404,3571.08,104339.34714285714
E14001146,21114.522,2743.44,73626.69499999999
E14001147,21681.258,2798.16,75657.28357142858
E14001148,19603.225999999995,2597.5199999999995,68211.79214285714
E14001149,30017,3603,105523.85714285714
E14001150,27561.143999999997,3365.8799999999997,96724.63999999998
E14001151,26262.374,3240.48,92071.20785714286
E14001152,24467.71,3067.2,85641.01071428572
E14001153,70132.5,7481,249244
E14001154,30017,3603,105523.85714285714
E14001155,6544.683999999998,1336.6799999999998,21423.64714285714
E14001156,18446.14,2485.8,64066.00714285714
E14001157,28647.388000000003,3470.76,100616.60142857143
E14001158,30017,3603,105523.85714285714
E14001159,29993.386000000002,3600.7200000000003,105439.2492857143
E14001160,70132.5,7481,249244
E14001161,30017,3603,105523.85714285714
E14001162,27159.706,3327.12,95286.30642857142
E14001263,29497.492000000002,3552.84,103662.4842857143
