PCON24CD,avg_exposure_pop_weighted,total_population,total_nox,n_cells
E14001443,2.1175333534271026,106840.1981740892,132.91402840628143,535
E14001444,1.2685178954017629,92934.09454389662,137.39824269783276,1171
E14001445,4.188024393430945,121625.26461219788,103.75135422762833,38
E14001446,2.6678847625474975,104851.47789669037,75.21682324638823,62
E14001447,2.4328766904620256,106543.0493183136,90.88033426003676,107
E14001448,2.8894717132390184,106277.44546508789,59.094922643431346,30
E14001449,1.1709520900037815,96632.59598201513,96.53684339344909,442
E14001450,1.6973778568213596,106510.5801383555,85.78184323581809,181
E14001451,1.4582379446939695,94125.45586585999,71.3762951810204,139
E14001452,2.108579161886168,105196.9934387207,89.49344891111832,59
E14001453,1.8953208360984508,111853.19074547291,104.5219781700871,228
E14001454,2.8467285181982316,93087.30253219604,71.68646419979632,40
E14001455,1.7695216790976303,94807.10472893715,112.7419733542556,165
E14001456,2.2231528247616583,112744.0180644989,143.53526546480134,108
E14001457,1.8241718973854812,99345.2441676557,91.67147804613342,250
E14001458,1.1427668972818898,92126.81863564253,94.60714016694692,686
E14001459,3.9466169353674827,123857.58361816406,114.87125658988953,29
E14001460,1.444293255006576,90452.3244702518,101.76584435996483,496
E14001461,2.472626543825182,97201.60572232306,107.23187754731043,483
E14001462,1.988718465659163,105074.65796351433,94.93207531466032,207
E14001463,1.9218287806562007,98339.26447737217,73.30056573702313,79
E14001464,1.372642614668964,102551.87428033352,106.34159463117976,431
E14001465,1.2608279091426156,100606.91633248329,88.52326483040815,248
E14001466,2.7806531601020543,115732.29000854492,72.38014689087868,29
E14001467,8.997838600764267,86156.349853515625,104.09198343753815,12
E14001468,2.2304858565136767,83772.88223835826,62.88462595711462,98
E14001469,2.2824159911102524,109498.99755859375,61.01468241214752,29
E14001470,2.0491411153780796,103458.91634368896,113.37731290981174,47
E14001471,1.3526819598535469,100537.91604715586,89.9352308047819,262
E14001472,1.8567136501558592,94903.70894241333,66.17973667662591,84
E14001473,2.25875267453812,100436.50937256962,101.6641488855239,314
E14001474,1.6839231192950228,105262.84446775913,76.28894158354524,121
E14001475,1.518619963406685,103056.12541220337,153.79391111254517,1182
E14001476,0.9210845507638914,95483.53625237942,78.39531315662316,557
E14001477,3.99324867693372,131542.48525238037,95.01860146224499,26
E14001478,3.210409290263294,110086.48913574219,67.92102086544037,22
E14001479,2.3349246577591827,101988.22576904297,81.25005716830492,43
E14001480,1.5710269861025126,95326.54542374611,60.32647315366194,101
E14001481,1.0848888299085253,100531.75240917504,111.37640556132101,457
E14001482,0.8735449122796788,96764.54497386515,98.60393807697983,736
E14001483,1.435142312313287,96513.85121116042,83.65991508052684,274
E14001484,1.0326657333254907,89314.2590367198,72.70157942755031,585
E14001485,1.451810830474307,93831.94345915318,78.83423767780187,269
E14001486,0.8956038471060277,86335.17911782861,76.39005564988474,672
E14001487,1.0152854770282023,107726.91189059615,91.30164282032638,654
E14001488,1.2360257625451272,104205.46860568225,127.06012228829786,309
E14001489,0.7426288784936376,94557.13598290086,87.40172528853873,483
E14001490,0.9835497722796399,103738.00425374508,116.88948552402144,535
E14001491,1.4052615395243844,92094.4173169136,65.05420831874653,132
E14001492,3.000226984438186,88573.7174911499,67.66711803618819,36
E14001493,0.7502247711249733,95972.3873341009,116.54014361299778,1645
E14001494,0.9172272341589753,92019.52878832817,76.74850408908969,567
E14001495,1.2729752464821464,100953.35001079738,73.23344608719344,303
E14001496,1.9253633184130472,102354.07023859024,99.45206743571907,99
E14001497,0.7940457059436344,103649.77514718473,81.19215520174475,806
