PCON24CD,mean,min_nox_emission_per_km2,max_nox_emission,median_nox_emission_per_km2,stdev,mean_nox_emission_per_km2,sd_nox_emission_per_km2,sum,area_km2,total_nox_t_per_km2,total_nox
E14001115,2.635260581970215,0.010288850404322147,13.762459754943848,2.490661725201162,1.8219610452651978,3.3216872215270996,1.9558454751968384,66.24713134765625,26.39659036044198,2.509685169298775,66.24713134765625
E14001116,3.0956106185913086,0.1278706043958664,13.762459754943848,2.278764171512554,2.8364946842193604,3.7989392280578613,3.3917572498321533,81.11872100830078,26.235603341341374,3.091932743184756,81.11872100830078
E14001117,2.0541000366210938,1.7796219617594033e-4,8.880439758300781,1.5134123314093753,1.7976986169815063,2.4793217182159424,1.5911606550216675,80.88208770751953,45.66930985853517,1.7710380988471062,80.88208770751953
E14001118,3.212428569793701,0.0018250059802085161,13.541020393371582,2.8701057221693906,2.46083664894104,4.125522136688232,2.2850704193115234,84.87562561035156,26.421014055319844,3.2124287672169016,84.87562561035156
E14001119,2.2645459175109863,0.004335510078817606,15.388629913330078,1.8130586771249784,2.589104175567627,3.1215016841888428,2.284283399581909,99.992034912109375,45.155446649796666,2.2143958775914276,99.992034912109375
E14001120,3.4697184562683105,0.0275228600949049,15.096460342407227,1.7574698642178732,4.174005508422852,5.570385456085205,4.327470302581787,124.2939682006836,35.82249566433119,3.469718284436679,124.2939682006836
E14001121,0.15417277812957764,1.967074058484286e-4,7.005908012390137,0.03127111140383487,0.43258804082870483,1.3125816583633423,1.1610407829284668,75.73661041259766,519.232988953571,0.14586247797011587,75.73661041259766
E14001122,5.337471008300781,0.43781960010528564,18.66036033630371,4.964119758867381,2.8868918418884277,5.289637565612793,2.2105977535247803,98.98975372314453,18.54619050380011,5.3374709864466,98.98975372314453
E14001123,5.629371166229248,0.7157350778579712,21.400419235229492,3.597390459135448,5.217916965484619,6.144580364227295,5.673157215118408,102.54716491699219,18.21645180978021,5.6293709657517255,102.54716491699219
E14001124,4.1952924728393555,0.032119590789079666,20.360580444335938,3.507750193427428,3.7571017742156982,5.456462383270264,4.368500232696533,101.99725341796875,24.31230903288427,4.19529273340552,101.99725341796875
