LSOA21CD,number_of_households
E01001873,707
E01001875,655
E01001876,812
E01001877,609
E01001878,590
E01001879,635
E01001880,744
E01001881,821
E01001882,709
E01001883,943
E01001884,918
E01001885,517
E01001886,629
E01001887,636
E01001888,614
E01001889,576
E01001890,741
E01001891,1154
E01001892,581
E01001893,641
E01001894,705
E01001895,643
E01001896,706
E01001897,558
E01001898,951
E01001899,792
E01001900,718
E01001901,683
E01001902,806
E01001903,595
E01001904,711
E01001905,708
E01001906,622
E01001907,544
E01001908,760
E01001909,858
E01001910,735
E01001911,709
E01001912,522
E01001913,711
E01001914,828
E01001915,628
E01001916,604
E01001917,698
E01001918,613
E01001919,599
E01001920,776
E01001921,604
E01001922,641
E01001923,649
E01001924,610
E01001925,619
E01001926,581
E01001927,517
E01001928,682
E01001929,591
E01001930,771
E01001931,656
E01001932,746
E01001933,688
E01001934,795
E01001935,922
E01001937,724
E01001938,632
E01001940,709
E01001941,770
E01001942,867
E01001943,1101
E01001944,799
E01001945,749
E01001946,849
E01001947,587
E01001948,841
E01001949,644
E01001950,592
E01001951,694
E01001952,827
E01001953,681
E01001954,666
E01001955,823
E01001956,599
E01001957,583
E01001958,599
E01001959,580
E01001960,772
E01001961,531
E01001962,640
E01001963,677
E01001964,639
E01001965,629
E01001966,518
E01001967,603
E01001968,694
E01001969,870
E01001970,749
E01001971,815
E01001972,729
E01001973,1002
E01001974,973
E01001975,814
E01001976,686
E01001977,606
E01001978,786
E01001979,927
E01001980,702
E01001981,646
E01001982,719
E01001983,651
E01001984,957
E01001985,726
E01001986,698
E01001987,760
E01001988,789
E01001989,758
E01001990,939
E01001991,739
E01001992,678
E01001993,604
E01001994,741
E01001995,942
E01001996,615
E01001997,702
E01001998,825
E01001999,962
E01002000,739
E01002001,686
E01002002,793
E01002003,1139
E01002004,719
E01002005,735
E01002006,772
E01002007,686
E01002008,527
E01002009,652
E01002010,698
E01002011,778
E01002013,572
E01002014,837
E01002015,631
E01002016,879
E01002017,654
E01002018,596
E01002019,545
E01002020,701
E01002021,566
E01002022,980
E01002023,588
E01002024,527
E01002025,598
E01002026,754
E01002027,550
E01002028,624
E01002029,728
E01002030,638
E01002031,750
E01002032,733
E01002033,690
E01002034,1021
E01002036,697
E01002037,684
E01002038,712
E01002039,621
E01002040,879
E01002041,733
E01002042,591
E01002043,701
E01002044,712
E01002045,825
E01002046,662
E01002047,631
E01002048,738
E01002049,699
E01002050,470
E01002051,686
E01002052,505
E01002053,724
E01002054,680
E01002055,502
E01002056,922
E01002057,596
E01002058,648
E01002059,700
E01002060,751
E01002061,692
E01002062,826
E01002063,713
E01002064,653
E01002065,740
E01002066,906
E01002067,733
E01002068,857
E01002069,966
E01002070,1078
E01002071,700
E01002072,677
E01002073,662
E01002074,855
E01002075,722
E01002076,679
E01002077,857
E01002078,1133
E01002079,607
E01002081,682
E01002082,570
E01002083,534
E01002084,657
E01002085,795
E01002086,617
