year,model_run,new_ranking_quintile_deprivation,mean_emission,median_emission,p25,p75,sd,n,se,baseline_median,baseline_p25,baseline_p75,pct_median,pct_p25,pct_p75,deprivation
2028-01-01,Current trends persist,1,3.8515213453555472,3.0675204475459026,2.588214930354824,4.131443638471415,2.563512474076211,107,0.24782410488131987,3.089872732823157,2.5944309278885633,4.139741662142065,-0.7234047227838916,-0.23959001825491033,-0.2004478624000811,Q1 (most deprived)
2028-01-01,Current trends persist,5,1.9039896060627328,1.6116406730328094,1.2278992792514536,2.317168982932545,0.9579531908362174,122,0.08672900680616807,1.619146567609594,1.2397385014734232,2.3262527151154733,-0.46357103964131874,-0.9549773769144694,-0.3904877627398084,Q5 (least deprived)
2028-01-01,Suitability-driven uptake,1,3.8288433547786083,3.0630862888768915,2.567810561898365,4.105621766283132,2.5512855980228966,107,0.2466420881585421,3.0887874844517933,2.5859651189090713,4.129026301460782,-0.8320804103317364,-0.7020418364484834,-0.5668294040502918,Q1 (most deprived)
2028-01-01,Suitability-driven uptake,5,1.9039042172298073,1.6011260584607785,1.2322960566091898,2.3146641667408874,0.9527046397056075,122,0.086253825313916,1.614733706660434,1.2414377278033233,2.325372585685377,-0.8427177895356224,-0.7363777489112795,-0.4605033623604581,Q5 (least deprived)
2029-01-01,Current trends persist,1,3.84493205440613,3.054631343475168,2.5841525476752034,4.126008621378583,2.5619481123220473,107,0.24767287232233812,3.089872732823157,2.5944309278885633,4.139741662142065,-1.1405450125380945,-0.39617089446759,-0.33173666098709365,Q1 (most deprived)
2029-01-01,Current trends persist,5,1.896813963029492,1.6067503342293796,1.220474958728863,2.311383090196148,0.9567450687080254,122,0.08661962856798174,1.619146567609594,1.2397385014734232,2.3262527151154733,-0.765602918734859,-1.5538391944483119,-0.6392093525654232,Q5 (least deprived)
2029-01-01,Suitability-driven uptake,1,3.813993273347285,3.0453824998206174,2.556262975763148,4.089542516297219,2.5451856968807114,107,0.24605238845716992,3.0887874844517933,2.5859651189090713,4.129026301460782,-1.4052434765961104,-1.1485902469733913,-0.9562493014296007,Q1 (most deprived)
2029-01-01,Suitability-driven uptake,5,1.8968890417515223,1.5924773214341394,1.2264878147965246,2.3078518595638733,0.9496025820373143,122,0.08597297820865016,1.614733706660434,1.2414377278033233,2.325372585685377,-1.3783316180551386,-1.2042418779435686,-0.7534588749071168,Q5 (least deprived)
2030-01-01,Current trends persist,1,3.835364135147353,3.046855176077341,2.578220364895119,4.115624900964662,2.559661903981786,107,0.24745185621992902,3.089872732823157,2.5944309278885633,4.139741662142065,-1.3922112807057807,-0.6248215290370854,-0.5825668156530156,Q1 (most deprived)
2030-01-01,Current trends persist,5,1.8864777697325708,1.599667054825224,1.2117228206069979,2.2971713208279847,0.9549625063819206,122,0.08645824295792054,1.619146567609594,1.2397385014734232,2.3262527151154733,-1.2030728517139868,-2.259805663301483,-1.2501390798396121,Q5 (least deprived)
2030-01-01,Suitability-driven uptake,1,3.7929595794795525,3.0203212919357623,2.5399124601529595,4.062350930725456,2.5365286716908058,107,0.245215482243403,3.0887874844517933,2.5859651189090713,4.129026301460782,-2.216604180788521,-1.7808692939965052,-1.6147964645257256,Q1 (most deprived)
2030-01-01,Suitability-driven uptake,5,1.8869599201559026,1.580250809000827,1.2198267274084926,2.2982123428399364,0.9452115324819301,122,0.08557543126124378,1.614733706660434,1.2414377278033233,2.325372585685377,-2.135516061711746,-1.7408042232670424,-1.167995314498615,Q5 (least deprived)
2031-01-01,Current trends persist,1,3.8213467655665685,3.0401444978320407,2.5517049523283775,4.096668923953884,2.5562760454022126,107,0.24712453291636682,3.089872732823157,2.5944309278885633,4.139741662142065,-1.609394279021991,-1.646834190145803,-1.040469229809206,Q1 (most deprived)
2031-01-01,Current trends persist,5,1.87151960220218,1.589323296800389,1.1990735264184582,2.2765910950383046,0.9522873689277366,122,0.0862160473927397,1.619146567609594,1.2397385014734232,2.3262527151154733,-1.8419129809374941,-3.280125204358411,-2.1348334062966807,Q5 (least deprived)
2031-01-01,Suitability-driven uptake,1,3.7632006404176845,2.9848808682034442,2.5162796492388515,4.023856784803759,2.5242541934507545,107,0.24402886364353754,3.0887874844517933,2.5859651189090713,4.129026301460782,-3.3639936956294263,-2.6947567529301284,-2.5470779059899846,Q1 (most deprived)
2031-01-01,Suitability-driven uptake,5,1.8729263000343708,1.5629702321755512,1.2117393273650745,2.284579833747342,0.9390017081314048,122,0.08501322018087597,1.614733706660434,1.2414377278033233,2.325372585685377,-3.205697278218035,-2.3922585702948607,-1.75424584383373,Q5 (least deprived)
2032-01-01,Current trends persist,1,3.800365367314826,3.029991811187859,2.5067323265931716,4.068116169902884,2.5511329035606813,107,0.24662732662771222,3.089872732823157,2.5944309278885633,4.139741662142065,-1.9379737229690355,-3.380263484862319,-1.7301923183805432,Q1 (most deprived)
2032-01-01,Current trends persist,5,1.8495341446207385,1.5738829390339708,1.1803272835531633,2.2463206714228594,0.9481318411265136,122,0.08583982358305556,1.619146567609594,1.2397385014734232,2.3262527151154733,-2.7955238568950267,-4.792237867070353,-3.436085992430367,Q5 (least deprived)
2032-01-01,Suitability-driven uptake,1,3.7206753480826644,2.951035248839639,2.481510569612403,3.9688860932517125,2.5066368620291577,107,0.24232573193105073,3.0887874844517933,2.5859651189090713,4.129026301460782,-4.459751158199308,-4.039286861716601,-3.878401262603116,Q1 (most deprived)
2032-01-01,Suitability-driven uptake,5,1.8528981693599813,1.5457301437470081,1.200221775529608,2.264445093053153,0.9301301492161174,122,0.08421002697592027,1.614733706660434,1.2414377278033233,2.325372585685377,-4.273371059810094,-3.3200176980802145,-2.620117438697084,Q5 (least deprived)
2033-01-01,Current trends persist,1,3.7685449803746036,3.0143170535152572,2.471240474650391,4.024404319163073,2.5431379576041926,107,0.24585442602930366,3.089872732823157,2.5944309278885633,4.139741662142065,-2.445268327892132,-4.748264905184008,-2.7861000128039675,Q1 (most deprived)
2033-01-01,Current trends persist,5,1.8171416121784907,1.5470605672540942,1.1512886637584505,2.201644474505234,0.9414566463249427,122,0.0852354798417162,1.619146567609594,1.2397385014734232,2.3262527151154733,-4.452098518908202,-7.134556005952103,-5.356608067582789,Q5 (least deprived)
2033-01-01,Suitability-driven uptake,1,3.6599925128345685,2.9040264375309026,2.4320182615578583,3.8904681287621647,2.4813471030254335,107,0.2398808786482436,3.0887874844517933,2.5859651189090713,4.129026301460782,-5.981669112910259,-5.9531683635453625,-5.77758907988112,Q1 (most deprived)
2033-01-01,Suitability-driven uptake,5,1.8243818699302443,1.5240925561791554,1.1844850039341153,2.230773445004736,0.9174822244756747,122,0.08306493767365467,1.614733706660434,1.2414377278033233,2.325372585685377,-5.6133807145663095,-4.58764242407742,-4.068128319004802,Q5 (least deprived)
2034-01-01,Current trends persist,1,3.7291862307095673,2.9877962117914136,2.4320304308695686,3.9695251565863447,2.5327823416616755,107,0.24485331084948622,3.089872732823157,2.5944309278885633,4.139741662142065,-3.303583346569683,-6.259580676181725,-4.111766372098765,Q1 (most deprived)
2034-01-01,Current trends persist,5,1.7789951301224338,1.5087654446426817,1.1201881187885974,2.150018565980566,0.9324006759785971,122,0.08441559081027088,1.619146567609594,1.2397385014734232,2.3262527151154733,-6.817240957368795,-9.64319350756154,-7.575881502030142,Q5 (least deprived)
2034-01-01,Suitability-driven uptake,1,3.5908306152441516,2.8506319782101293,2.375848909206186,3.8010819671937623,2.452219798329606,107,0.23706503582054284,3.0887874844517933,2.5859651189090713,4.129026301460782,-7.710323466424319,-8.125253050262572,-7.942413303373691,Q1 (most deprived)
2034-01-01,Suitability-driven uptake,5,1.7919934621895124,1.4995941244424382,1.1628517620360301,2.193558130956006,0.9030699391501817,122,0.08176011066953351,1.614733706660434,1.2414377278033233,2.325372585685377,-7.130561636452459,-6.330238239685854,-5.668530520261558,Q5 (least deprived)
2035-01-01,Current trends persist,1,3.6844891189816744,2.955470953395758,2.3785732915332733,3.9275574178949624,2.52030188564521,107,0.24364677962638157,3.089872732823157,2.5944309278885633,4.139741662142065,-4.349751302041452,-8.320037894821208,-5.1255431271841685,Q1 (most deprived)
2035-01-01,Current trends persist,5,1.7386100026436329,1.4719683129030572,1.0852156640995743,2.110892769736145,0.9209569077514922,122,0.08337952071629226,1.619146567609594,1.2397385014734232,2.3262527151154733,-9.089866084441107,-12.464147656154854,-9.257805223824883,Q5 (least deprived)
2035-01-01,Suitability-driven uptake,1,3.5191506120937617,2.77667338877188,2.3216629630824936,3.7085263114328972,2.4215853243726158,107,0.2341034894408487,3.0887874844517933,2.5859651189090713,4.129026301460782,-10.10474489588616,-10.220638859122646,-10.183998825076966,Q1 (most deprived)
2035-01-01,Suitability-driven uptake,5,1.7585813386416045,1.4744282586995552,1.1420731385058573,2.157301903671548,0.8881278864273704,122,0.08040732077886714,1.614733706660434,1.2414377278033233,2.325372585685377,-8.689076556843307,-8.003993037434732,-7.227688287392955,Q5 (least deprived)
2036-01-01,Current trends persist,1,3.631732452039936,2.892755992941887,2.325558609696016,3.8869950728281193,2.5047245968472267,107,0.2421408662782403,3.089872732823157,2.5944309278885633,4.139741662142065,-6.37944526929328,-10.363440988246502,-6.105371057940952,Q1 (most deprived)
2036-01-01,Current trends persist,5,1.6950967341161798,1.429980963979311,1.0460998679392917,2.0756807646711817,0.906119294823737,122,0.08203618636038783,1.619146567609594,1.2397385014734232,2.3262527151154733,-11.683043858688784,-15.619312726352613,-10.771484491608788,Q5 (least deprived)
2036-01-01,Suitability-driven uptake,1,3.4420695373721517,2.689746624290584,2.258818991737402,3.609046953697348,2.388050002962236,107,0.23086150755291984,3.0887874844517933,2.5859651189090713,4.129026301460782,-12.919013113394303,-12.650832943550325,-12.593267995882565,Q1 (most deprived)
2036-01-01,Suitability-driven uptake,5,1.7228525306591775,1.4476432520708307,1.119994511203252,2.1186395972174807,0.8720467189622231,122,0.07895140028517536,1.614733706660434,1.2414377278033233,2.325372585685377,-10.347864412589555,-9.782465433442265,-8.890316749260375,Q5 (least deprived)
2037-01-01,Current trends persist,1,3.5722051817797063,2.837426742465726,2.2823051270646486,3.839992545655031,2.4861449183098094,107,0.2403447009585543,3.089872732823157,2.5944309278885633,4.139741662142065,-8.170109651305152,-12.030607462652066,-7.240768650571583,Q1 (most deprived)
2037-01-01,Current trends persist,5,1.6514456923204999,1.3896387802345784,1.0134154889649982,2.0368184869642834,0.888217319855706,122,0.08041541770102265,1.619146567609594,1.2397385014734232,2.3262527151154733,-14.174614699263847,-18.255705718539936,-12.442080186323292,Q5 (least deprived)
2037-01-01,Suitability-driven uptake,1,3.363357441371313,2.6016645705511787,2.199567674486098,3.507588865218726,2.3529747725680545,107,0.22747065704454597,3.0887874844517933,2.5859651189090713,4.129026301460782,-15.770684009588653,-14.94209808158514,-15.050459621005603,Q1 (most deprived)
2037-01-01,Suitability-driven uptake,5,1.686634259288872,1.4206873476028012,1.0950022272589977,2.079160277874535,0.8555922211307122,122,0.07746168004824451,1.614733706660434,1.2414377278033233,2.325372585685377,-12.017235923002822,-11.795638014275406,-10.588079920030268,Q5 (least deprived)
2038-01-01,Current trends persist,1,3.5050313752410114,2.7988926892107036,2.2421862357087092,3.785318432687242,2.4639127639592626,107,0.2381954374744774,3.089872732823157,2.5944309278885633,4.139741662142065,-9.417217755327762,-13.576953943673608,-8.561481811679764,Q1 (most deprived)
2038-01-01,Current trends persist,5,1.6083982205460412,1.3510201270009934,0.990469173319717,1.9937203417703382,0.8674629005902822,122,0.07853640086914829,1.619146567609594,1.2397385014734232,2.3262527151154733,-16.559738690268514,-20.106605373427612,-14.294765619591269,Q5 (least deprived)
2038-01-01,Suitability-driven uptake,1,3.2829511343098474,2.512532253849858,2.1397260312842348,3.4040652975081533,2.3160528441128623,107,0.22390127949618918,3.0887874844517933,2.5859651189090713,4.129026301460782,-18.65635734095222,-17.256191290510884,-17.557674643441953,Q1 (most deprived)
