PCON25CD,PCON25NM,total_population_PC,mean_imd_ranking,median_imd_lsoa_ranking,median_imd_decile,total_number_of_LSOAs,number_of_LSOAs_with_decile_equal_1,pct_decile_equal_1,number_of_LSOAs_with_decile_equal_10,pct_decile_equal_10,new_ranking
E14001439,Reading West and Mid Berkshire,95859,29093.047079564778,30250,8,59,1,1.694915254237288,13,22.033898305084744,465
E14001067,Arundel and South Downs,94869,29945.888151029314,30251,8,57,0,0,7,12.280701754385964,466
E14001192,Daventry,98468,29136.49385587196,30347,8,52,1,1.9230769230769231,5,9.615384615384617,467
E14001356,Melksham and Devizes,87531,28508.84768824759,30491,8,54,0,0,5,9.25925925925926,468
E14001566,Warwick and Leamington,104840,28686.606104540253,30494,8,61,0,0,9,14.754098360655737,469
E14001141,Buckingham and Bletchley,96770,26515.403947504394,30549,8,55,2,3.6363636363636362,4,7.2727272727272725,470
E14001465,Sevenoaks,97529,29546.955710609152,30646,8,61,0,0,16,26.229508196721312,471
E14001491,South Ribble,96838,27654.266166174435,30710,8,58,3,5.172413793103448,13,22.413793103448278,472
E14001125,Brentwood and Ongar,95969,30127.898107722285,30817,8,57,0,0,17,29.82456140350877,473
E14001224,Ely and East Cambridgeshire,106846,30819.497168822418,30891,8,61,0,0,13,21.311475409836063,474
E14001535,Sutton Coldfield,97575,28428.590335639252,30936,8,60,1,1.6666666666666667,8,13.333333333333334,475
E14001335,Lichfield,89541,29971.26787170123,30972,8,53,0,0,11,20.754716981132077,476
E14001495,South West Devon,96525,30518.365558145557,30978,8,59,0,0,6,10.16949152542373,477
E14001589,Wirral West,88801,28458.490625105573,31180,8,60,3,5,12,20,478
E14001071,Aylesbury,105044,28557.51515555386,31455,8,65,0,0,18,27.692307692307693,479
E14001555,Tunbridge Wells,105004,31108.497809607252,31495,8,62,0,0,16,25.806451612903224,480
E14001533,Sussex Weald,87557,29784.030460157384,31550,8,53,0,0,9,16.9811320754717,481
E14001083,Beckenham and Penge,105519,28414.345980344773,31664,8,64,0,0,12,18.75,482
E14001168,Chippenham,95689,28648.34942365371,31707,8,56,0,0,12,21.428571428571427,483
E14001545,Thornbury and Yate,97418,31636.101259520827,31749,8,56,0,0,18,32.142857142857146,484
E14001374,New Forest West,84776,29779.135333113147,31817,8,54,0,0,12,22.22222222222222,485
E14001402,North West Essex,99712,32135.34302792041,31924,8,52,0,0,9,17.307692307692307,486
E14001393,North East Hertfordshire,99123,29949.729245482886,32008,8,60,0,0,12,20,487
